------------------------------------------------------------------- 
Nombre: Huella 
Fecha: 2013-08-27 
Numero de terminaciones: 66 
Numero de bifurcaciones: 115 
------------------------------------------------------------------- 
------------------------------------------------------------------- 
Terminaciones: 
------------------------------------------------------------------- 
X          Y     Angulo 
129 	 378 	 -1.57 
129 	 384 	 1.05 
132 	 390 	 -1.57 
137 	 335 	 -1.57 
148 	 356 	 -1.57 
154 	 391 	 2.09 
156 	 199 	 -1.57 
156 	 421 	 -2.09 
158 	 155 	 -1.57 
158 	 243 	 -2.09 
161 	 312 	 1.57 
166 	 169 	 1.05 
169 	 266 	 1.57 
173 	 238 	 1.05 
173 	 417 	 -1.57 
174 	 129 	 2.62 
175 	 258 	 0.00 
175 	 359 	 -0.79 
179 	 144 	 2.09 
180 	 130 	 2.09 
185 	 343 	 1.57 
191 	 330 	 0.52 
193 	 170 	 -1.05 
214 	 356 	 -2.09 
215 	 243 	 1.57 
218 	 201 	 0.52 
224 	 345 	 0.00 
233 	 265 	 -1.57 
234 	 307 	 3.14 
249 	 233 	 -0.79 
249 	 241 	 0.79 
250 	 140 	 -2.36 
262 	 172 	 2.09 
276 	 246 	 1.57 
279 	 274 	 -1.57 
283 	 152 	 1.57 
286 	 169 	 1.05 
288 	 222 	 0.79 
297 	 287 	 -1.57 
297 	 302 	 -2.09 
300 	 122 	 -2.62 
305 	 208 	 -2.09 
308 	 126 	 -0.52 
311 	 312 	 0.52 
317 	 271 	 -1.57 
320 	 279 	 -1.57 
321 	 366 	 0.00 
333 	 400 	 -1.57 
338 	 425 	 -2.09 
347 	 121 	 1.57 
348 	 371 	 -2.36 
349 	 205 	 -1.57 
354 	 378 	 -1.57 
355 	 185 	 -0.52 
358 	 145 	 -1.57 
366 	 285 	 1.57 
371 	 404 	 1.57 
373 	 373 	 2.36 
376 	 295 	 1.57 
379 	 150 	 -1.57 
379 	 318 	 1.57 
380 	 376 	 -1.57 
383 	 300 	 3.14 
391 	 366 	 -1.05 
402 	 345 	 1.57 
413 	 377 	 1.05 
------------------------------------------------------------------- 
Bifurcaciones: 
------------------------------------------------------------------- 
X          Y     Angulo 1     Angulo 2    Angulo 3 
128 	 332 	 2.36 	 	 -1.57 	 	 0.79 
142 	 315 	 3.14 	 	 0.79 	 	 -0.79 
144 	 370 	 -2.09 	 	 1.05 	 	 -0.52 
147 	 320 	 2.36 	 	 -2.36 	 	 0.52 
148 	 408 	 2.09 	 	 -2.09 	 	 -0.52 
154 	 358 	 -2.62 	 	 1.57 	 	 -0.79 
155 	 403 	 2.36 	 	 -1.57 	 	 0.79 
159 	 162 	 3.14 	 	 2.09 	 	 0.00 
161 	 306 	 3.14 	 	 -1.57 	 	 0.52 
161 	 400 	 3.14 	 	 1.57 	 	 -1.05 
162 	 274 	 3.14 	 	 -1.57 	 	 0.52 
162 	 419 	 3.14 	 	 -1.57 	 	 1.05 
163 	 361 	 3.14 	 	 -1.57 	 	 0.79 
166 	 163 	 3.14 	 	 -1.57 	 	 0.52 
171 	 353 	 -2.62 	 	 2.09 	 	 0.00 
173 	 163 	 3.14 	 	 1.57 	 	 -0.52 
174 	 340 	 -2.36 	 	 1.57 	 	 0.00 
176 	 294 	 -2.62 	 	 1.57 	 	 -0.52 
177 	 285 	 3.14 	 	 -1.57 	 	 0.52 
178 	 138 	 2.62 	 	 -1.57 	 	 0.52 
182 	 270 	 3.14 	 	 1.57 	 	 0.00 
184 	 243 	 -2.09 	 	 1.57 	 	 0.00 
188 	 189 	 3.14 	 	 1.57 	 	 -0.52 
192 	 259 	 2.62 	 	 -2.09 	 	 0.52 
195 	 177 	 -2.62 	 	 1.57 	 	 0.00 
197 	 152 	 3.14 	 	 1.57 	 	 -0.52 
197 	 299 	 3.14 	 	 -1.57 	 	 0.00 
197 	 349 	 2.62 	 	 -1.57 	 	 0.52 
198 	 308 	 -2.62 	 	 2.09 	 	 -0.52 
198 	 336 	 3.14 	 	 1.57 	 	 -0.52 
202 	 176 	 3.14 	 	 1.57 	 	 -0.79 
207 	 168 	 2.36 	 	 -2.09 	 	 0.00 
209 	 181 	 2.62 	 	 -2.09 	 	 0.52 
210 	 298 	 -2.62 	 	 1.57 	 	 -0.79 
211 	 292 	 2.36 	 	 -1.57 	 	 0.52 
212 	 331 	 2.36 	 	 -2.09 	 	 0.00 
